i,v1,v2,v3
0,0,0,0
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,0,1
6,0,5,0
7,0,1,1
8,0,6,0
9,0,2,1
10,0,7,0
11,0,3,1
12,1,0,0
13,0,8,0
14,0,4,1
15,0,0,2
16,1,1,0
17,0,9,0
18,0,5,1
19,0,1,2
20,1,2,0
21,0,10,0
22,0,6,1
