i,tau,E
319,inf,1.01171
320,inf,1.01203
321,inf,1.01208
322,inf,1.01259
323,inf,1.01379
324,inf,1.01656
325,inf,1.01937
326,inf,1.0243
327,inf,1.02526
328,inf,1.02638
329,inf,1.0267
330,inf,1.02691
331,inf,1.02704
332,inf,1.02797
333,inf,1.02867
334,inf,1.02877
335,inf,1.02884
336,inf,1.02903
337,inf,1.02905
338,inf,1.02985
339,inf,1.0336
340,inf,1.04141
341,inf,1.04291
342,inf,1.0441
343,inf,1.04453
344,inf,1.04556
345,inf,1.04626
346,inf,1.04675
347,inf,1.04722
348,inf,1.04802
349,inf,1.05271
350,inf,1.05342
351,inf,1.05399
352,inf,1.05549
353,inf,1.05666
354,inf,1.05666
355,inf,1.0611
356,inf,1.06265
357,inf,1.06372
358,inf,1.06376
359,inf,1.06552
360,inf,1.06782
361,inf,1.06819
362,inf,1.06836
363,inf,1.06853
364,inf,1.06929
365,inf,1.06954
366,inf,1.06964
367,inf,1.0734
368,inf,1.0746
369,inf,1.07704
370,inf,1.0773
371,inf,1.07843
372,inf,1.08062
373,inf,1.08136
374,inf,1.08152
375,inf,1.08168
376,inf,1.08186
377,inf,1.08441
378,inf,1.0849
379,inf,1.08658
380,inf,1.08698
381,inf,1.08776
382,inf,1.09114
383,inf,1.09519
384,inf,1.09521
385,inf,1.09523
386,inf,1.09529
387,inf,1.09642
388,inf,1.09698
389,inf,1.09897
390,inf,1.09902
391,inf,1.09934
392,inf,1.09977
393,inf,1.10133
394,inf,1.10165
395,inf,1.10308
396,inf,1.10325
397,inf,1.10346
398,inf,1.10519
399,inf,1.10718
400,inf,1.10885
401,inf,1.10963
402,inf,1.11341
403,inf,1.11655
404,inf,1.11856
405,inf,1.11906
406,inf,1.11984
407,inf,1.12179
408,inf,1.12271
409,inf,1.12297
410,inf,1.12377
411,inf,1.12442
412,inf,1.12483
413,inf,1.12542
414,inf,1.12614
415,inf,1.12637
416,inf,1.12871
417,inf,1.12918
418,inf,1.12961
419,inf,1.13259
420,inf,1.13377
421,inf,1.13437
422,inf,1.13502
423,inf,1.13658
424,inf,1.13664
425,inf,1.13742
426,inf,1.13762
427,inf,1.13796
428,inf,1.13894
429,inf,1.14025
430,inf,1.14068
431,inf,1.14279
432,inf,1.14354
433,inf,1.14487
434,inf,1.14587
435,inf,1.14896
436,inf,1.15029
437,inf,1.1506
438,inf,1.15103
439,inf,1.15171
440,inf,1.15228
441,inf,1.15392
442,inf,1.1571
443,inf,1.15854
444,inf,1.15908
445,inf,1.15973
446,inf,1.16023
447,inf,1.16054
448,inf,1.16073
449,inf,1.16324
450,inf,1.1635
451,inf,1.16376
452,inf,1.16435
453,inf,1.16469
454,inf,1.16484
455,inf,1.16661
456,inf,1.16926
457,inf,1.16932
458,inf,1.16966
459,inf,1.17284
460,inf,1.17341
461,inf,1.17408
462,inf,1.17949
463,inf,1.17953
464,inf,1.18064
465,inf,1.18085
466,inf,1.18089
467,inf,1.18096
468,inf,1.18124
469,inf,1.18395
470,inf,1.18412
471,inf,1.18521
472,inf,1.18535
473,inf,1.18641
474,inf,1.18754
475,inf,1.18784
476,inf,1.1897
477,inf,1.19118
478,inf,1.1922
479,inf,1.19263
480,inf,1.19412
481,inf,1.19587
482,inf,1.19943
483,inf,1.20017
484,inf,1.20077
485,inf,1.20207
486,inf,1.2041
487,inf,1.20493
488,inf,1.20547
489,inf,1.20602
490,inf,1.20706
491,inf,1.20724
492,inf,1.20812
493,inf,1.20854
494,inf,1.2098
