i,v
0,0
1,1
2,0
3,2
4,1
5,0
6,0
7,2
8,3
9,1
10,0
11,1
12,3
13,4
14,0
15,2
16,2
17,1
18,4
19,5
20,1
21,3
22,3
23,2
24,5
25,6
26,2
27,4
28,4
29,6
30,3
31,7
32,3
33,5
34,5
35,7
36,6
37,4
38,8
39,4
40,6
41,8
42,7
43,5
44,9
45,5
46,9
47,7
48,8
49,6
50,10
51,10
52,8
53,6
54,9
55,7
56,11
57,11
58,9
59,10
60,8
61,12
62,7
63,12
64,11
65,10
66,9
67,13
68,13
69,14
70,12
71,11
72,8
