i,v
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,0
9,8
10,9
11,1
12,10
13,11
14,2
15,12
16,3
17,13
18,14
19,4
20,15
21,5
22,16
23,17
24,0
25,6
26,18
27,1
28,2
29,19
30,7
31,0
32,3
33,4
34,8
35,20
36,5
37,9
38,6
39,10
40,21
41,7
42,11
43,8
44,12
45,1
46,22
47,9
48,13
49,10
50,23
51,14
52,11
53,2
54,15
55,12
56,24
57,16
58,13
59,25
60,3
61,14
62,17
63,15
64,26
65,18
66,4
67,16
68,19
69,5
70,27
71,17
72,6
73,7
74,8
