i,v
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,0
32,31
33,32
34,0
35,33
36,1
37,1
38,34
39,2
40,35
41,3
42,36
43,2
44,37
45,4
46,38
47,39
48,5
49,40
50,41
51,3
52,42
53,6
54,43
55,44
56,45
57,46
58,47
59,48
60,49
61,50
62,51
63,7
64,0
65,8
66,4
67,9
68,1
69,10
70,5
71,11
72,12
73,2
74,13
75,6
76,14
77,15
78,3
79,7
80,16
81,17
82,4
83,18
84,8
