i,v
798,30
799,40
800,31
801,23
802,44
803,45
804,59
805,33
806,17
807,21
808,51
809,50
810,13
811,31
812,37
813,25
814,52
815,42
816,17
817,38
818,45
819,39
820,24
821,13
822,34
823,45
824,24
825,41
826,31
827,32
828,46
829,12
830,52
831,51
832,38
833,34
834,53
835,32
836,43
837,18
838,39
839,25
840,46
841,23
842,40
843,18
844,26
845,42
846,46
847,14
848,35
849,53
850,47
851,25
852,39
853,34
854,32
855,14
856,52
857,54
858,26
859,19
860,35
861,14
862,43
863,44
864,40
865,47
866,33
867,41
868,47
869,19
870,54
871,40
872,24
873,48
874,28
875,55
876,36
877,53
878,20
879,35
880,27
881,15
882,44
883,34
884,27
885,33
886,41
887,45
888,48
889,36
890,42
891,16
892,48
893,41
894,55
895,15
896,56
897,49
898,54
899,35
900,21
901,21
902,37
903,45
904,29
905,25
906,36
907,42
908,42
909,49
910,49
911,43
912,46
913,56
914,28
915,28
916,37
917,35
918,57
919,17
920,50
921,36
922,55
923,17
924,43
925,57
926,22
927,16
928,43
929,50
930,50
931,38
932,46
933,22
934,44
935,47
936,37
937,30
938,29
939,58
940,26
941,37
942,38
943,51
944,29
945,56
946,36
947,44
948,58
949,51
950,51
951,44
952,18
953,45
954,30
955,18
956,39
957,59
958,48
959,47
960,23
961,38
962,45
963,23
964,18
965,52
966,57
967,38
968,39
969,31
970,59
971,28
972,52
973,37
974,31
975,30
976,52
977,45
978,46
979,46
980,24
981,49
982,48
983,40
984,58
985,53
986,40
987,19
988,39
989,19
990,53
991,19
992,40
993,24
994,32
995,47
996,53
997,25
998,32
999,46
1000,20
1001,47
1002,49
1003,38
1004,50
1005,33
1006,29
1007,32
1008,59
1009,54
1010,48
1011,20
1012,54
1013,40
1014,41
1015,41
1016,54
1017,26
1018,50
1019,47
1020,48
1021,41
1022,51
1023,26
1024,33
1025,49
1026,39
1027,55
1028,21
1029,34
1030,41
1031,21
1032,21
1033,55
1034,33
1035,40
1036,30
1037,42
1038,51
1039,55
1040,20
1041,48
1042,49
1043,42
1044,50
1045,42
1046,42
1047,52
1048,27
1049,56
1050,56
1051,34
1052,51
1053,27
1054,56
1055,41
1056,22
1057,35
1058,22
1059,50
1060,49
1061,52
1062,43
1063,34
1064,53
1065,43
1066,31
1067,43
1068,57
1069,43
1070,57
1071,52
1072,28
1073,22
1074,35
1075,57
1076,51
1077,50
1078,53
1079,28
1080,42
1081,54
1082,58
1083,44
1084,53
1085,58
1086,44
1087,36
1088,44
1089,24
1090,36
1091,44
1092,35
1093,32
1094,23
1095,58
1096,52
1097,54
1098,29
1099,51
1100,33
1101,59
1102,23
1103,37
1104,55
1105,59
1106,45
1107,54
1108,45
1109,45
1110,55
1111,59
1112,53
1113,29
1114,43
1115,45
1116,30
1117,37
1118,52
1119,46
1120,25
1121,36
1122,56
1123,56
1124,55
1125,24
1126,34
1127,46
1128,54
1129,38
1130,46
1131,31
1132,57
1133,53
1134,24
1135,46
1136,44
1137,57
1138,47
1139,31
1140,47
1141,56
1142,39
1143,27
1144,58
1145,55
1146,54
1147,47
1148,38
1149,39
1150,25
1151,32
1152,35
1153,47
1154,57
1155,59
1156,58
1157,48
1158,56
1159,48
1160,46
1161,55
1162,32
1163,25
1164,28
1165,48
1166,40
1167,59
1168,26
1169,39
1170,40
1171,48
1172,57
1173,49
1174,33
1175,56
1176,36
1177,27
1178,49
1179,47
1180,49
1181,41
1182,58
1183,49
1184,30
1185,58
1186,41
1187,57
1188,33
1189,50
1190,34
1191,40
1192,27
1193,42
1194,59
1195,37
1196,50
1197,51
1198,35
1199,58
1200,50
1201,48
1202,42
1203,38
1204,28
1205,51
1206,31
1207,35
1208,52
1209,43
1210,42
1211,51
1212,52
1213,59
1214,28
1215,51
1216,53
1217,34
