i,tau,E
148,0.00015422809347651046,2.60644
149,4.859881271402383e-05,2.61557
150,2723014.9883276466,2.63949
151,0.005942470063235841,2.64068
152,316.86985340286026,2.64604
153,5.616192103534791e-05,2.66347
154,8.38005327176627e-05,2.66436
155,0.00046912495809122383,2.66562
156,3.8958897342352824e-05,2.67548
157,1989.752982087417,2.67565
158,0.005241792327840545,2.68394
159,0.009557430512900951,2.68782
160,0.00020461334716566346,2.68885
161,41.58412041838336,2.68937
162,5.088943185530703e-05,2.71429
163,8.448920857627519e-05,2.71624
164,1166.834006211745,2.74111
165,0.023155465500316955,2.74232
166,17229497.80966968,2.74469
167,0.00012785952246771208,2.76523
168,0.00040962815711212446,2.77071
169,4863.165311308331,2.77083
170,5.7413939425838505e-05,2.77257
171,1.4730976762848995e-06,2.77444
172,0.0035907510083462556,2.77564
173,0.020315225333137288,2.79184
174,137.1375033210804,2.79442
175,0.00021075371119277933,2.79707
176,5.8575717505967523e-05,2.81167
177,6.833268048379965e-05,2.82481
178,730.0938507926566,2.83496
179,0.044012859252513685,2.84258
180,78151883.82614452,2.84861
181,160892.3230220064,2.86476
182,0.0001187316143797068,2.86526
183,0.0034748879637064157,2.86618
184,5.507431700450437e-06,2.87209
185,0.0004778304174061734,2.8743
186,7.468321810209428e-05,2.88043
187,0.01915233035302259,2.89439
188,396.82431724819565,2.89796
189,0.0002835774854602679,2.90348
190,5.186787029934491e-05,2.90789
191,861.5066526901315,2.9276
192,3.0456514096220423e-05,2.93141
193,0.022224192628790097,2.94144
194,17726096747.590385,2.95126
195,0.0026480573824666574,2.95563
196,327846.0876729531,2.95745
197,0.0003913168752510575,2.96444
198,4.416792721337394e-05,2.96846
199,0.0005012795508344119,2.9764
200,8.831647810544837e-05,2.98704
201,0.021403656065940406,2.99546
202,601.8398421009829,3.00001
203,3.215160903290758e-05,3.0028
204,0.00037142974566223237,3.00809
205,465.6086921395485,3.01903
206,2.2361963161296973e-05,3.03555
207,0.005857039326682608,3.03879
208,0.001471901509826858,3.04445
209,515652.2259943664,3.04891
210,11854809938.223541,3.05264
211,0.001127823212790132,3.06276
212,5.7070849757464136e-05,3.06358
213,0.00043050444936106584,3.07699
214,7.558253498022028e-05,3.09234
215,0.011732486326657304,3.09505
216,2.51261209798313e-05,3.0964
217,993.239574727387,3.10055
218,222.1531523750519,3.10923
219,0.0006091657861228436,3.11094
220,0.0016987344603503918,3.13
221,0.006649463824481716,3.13538
222,517401.15416584647,3.13914
223,1.758279732160052e-05,3.14168
224,30250003085.457485,3.15274
225,7.43330059542692e-05,3.15747
226,0.0007342163045571727,3.16022
227,0.00043876711232436656,3.17608
228,2.2394967593425162e-05,3.1887
229,0.021279878126997612,3.19317
230,0.00010421136084101157,3.19627
231,103.80129587205786,3.19823
232,710.0305806506466,3.1996
233,0.000565057467530799,3.21207
234,0.001517790685819564,3.21625
235,559381.2866411878,3.22813
