i,v
0,0
1,1
2,2
3,3
4,0
5,4
6,1
7,5
8,2
9,6
10,7
11,3
12,8
13,4
14,9
15,5
16,10
17,11
18,6
19,12
20,7
21,13
22,14
23,15
24,8
25,16
26,17
