i,v1,v2,v3
398,4,2,5
399,1,16,1
400,0,20,0
401,4,0,6
402,4,4,4
403,3,0,7
404,3,4,5
405,4,8,2
406,2,6,5
407,3,6,4
408,3,2,6
409,0,18,1
410,7,1,3
411,7,5,1
412,8,5,0
413,2,2,7
414,0,16,2
415,2,4,6
416,1,2,8
417,1,6,6
418,1,4,7
419,9,1,1
420,7,3,2
421,6,3,3
422,0,4,8
423,0,6,7
424,0,12,4
425,0,10,5
426,0,2,9
427,0,8,6
428,6,7,1
429,7,7,0
430,9,2,1
431,0,14,3
432,2,13,2
433,10,1,0
434,2,10,4
435,6,1,4
436,5,1,5
437,6,5,2
438,5,5,3
439,5,9,1
440,6,9,0
441,2,14,2
442,5,3,4
443,4,3,5
444,8,4,1
445,9,4,0
446,5,7,2
447,4,7,3
448,11,0,0
449,10,0,1
450,4,1,6
451,5,11,0
452,4,11,1
453,3,1,7
454,8,1,2
455,0,21,0
456,3,5,5
457,3,3,6
458,2,5,6
459,0,19,1
460,7,2,3
461,8,2,2
462,3,15,0
463,2,3,7
464,3,13,1
465,7,6,1
466,8,6,0
467,2,7,5
468,1,3,8
469,1,5,7
470,2,17,0
471,1,7,6
472,0,5,8
473,1,9,5
474,0,15,3
475,7,4,2
476,6,4,3
477,0,3,9
478,0,7,7
479,0,9,6
480,0,11,5
481,10,1,1
482,6,8,1
483,7,8,0
484,10,2,0
485,11,1,0
486,5,2,5
487,6,2,4
488,1,19,0
489,0,13,4
490,11,0,1
491,12,0,0
492,1,17,1
493,6,6,2
494,9,0,2
495,5,6,3
496,8,0,3
497,4,4,5
498,6,10,0
499,5,10,1
500,1,13,3
501,2,11,4
502,4,2,6
503,3,6,5
504,3,2,7
505,4,6,4
506,3,4,6
507,0,22,0
508,3,12,1
509,4,12,0
510,2,4,7
511,2,15,2
512,2,6,6
513,2,8,5
514,0,20,1
515,11,2,0
516,10,2,1
